[my_website] Crawled: 12 URLs in 0.76 seconds
[my_website] queue size: 0
         810738 function calls (790128 primitive calls) in 3.783 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1680    0.004    0.000    0.009    0.000 __init__.py:108(read)
      398    0.004    0.000    0.006    0.000 abc.py:117(__instancecheck__)
     8684    0.004    0.000    0.004    0.000 {built-in function hasattr}
7485/7417    0.004    0.000    0.004    0.000 {method 'join' of 'str' objects}
       21    0.004    0.000    0.126    0.006 __init__.py:456(load)
  3362/34    0.003    0.000    1.717    0.051 <frozen importlib._bootstrap>:1038(_gcd_import)
   668/10    0.003    0.000    1.713    0.171 <frozen importlib._bootstrap>:664(_load_unlocked)
      428    0.003    0.000    0.009    0.000 decorators.py:748(__call__)
      668    0.003    0.000    0.021    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
     3200    0.003    0.000    0.004    0.000 sre_parse.py:161(__len__)
      379    0.003    0.000    0.006    0.000 typing.py:1350(__init_subclass__)
     1924    0.003    0.000    0.004    0.000 {built-in function max}
      490    0.003    0.000    0.003    0.000 {built-in function _imp._fix_co_filename}
       11    0.003    0.000    0.003    0.000 {built-in function _imp.create_dynamic}
     1197    0.003    0.000    0.004    0.000 _collections.py:28(parse)
   300/73    0.003    0.000    0.003    0.000 abc.py:121(__subclasscheck__)
     3703    0.003    0.000    0.008    0.000 functools.py:453(__init__)
      504    0.003    0.000    0.049    0.000 _itertools.py:4(unique_everseen)
  699/698    0.003    0.000    0.073    0.000 frozen importlib._bootstrap_external:1413(_get_spec)
    10164    0.003    0.000    0.003    0.000 {built-in function _imp.acquire_lock}
4774/4002    0.003    0.000    0.005    0.000 {built-in function hash}
     3362    0.003    0.000    0.009    0.000 <frozen importlib._bootstrap>:173(__exit__)
     1584    0.003    0.000    0.007    0.000 frozen importlib._bootstrap_external:132(_path_split)
     2979    0.003    0.000    0.038    0.000 frozen importlib._bootstrap_external:140(_path_stat)
     3362    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap>:169(__enter__)
     3362    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:968(_sanity_check)
     4789    0.003    0.000    0.006    0.000 sre_parse.py:250(match)
     1118    0.003    0.000    0.003    0.000 functools.py:289(__new__)
        1    0.002    0.002    0.004    0.004 coercions.py:1(<module>)
      152    0.002    0.000    0.010    0.000 sre_compile.py:560(_compile_info)
      168    0.002    0.000    0.002    0.000 __init__.py:461(<genexpr>)
      652    0.002    0.000    0.005    0.000 frozen importlib._bootstrap_external:735(spec_from_file_location)
      218    0.002    0.000    0.002    0.000 sre_compile.py:437(<listcomp>)
      877    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:71(__init__)
     1197    0.002    0.000    0.003    0.000 <string>:5(_replace)
      411    0.002    0.000    0.020    0.000 typing.py:1016(__init__)
     3362    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:165(__init__)
     2046    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap>:902(_resolve_name)
     1095    0.002    0.000    0.010    0.000 frozen importlib._bootstrap_external:150(_path_is_mode_type)
        6    0.002    0.000    0.006    0.001 langhelpers.py:2152(inject_param_text)
     2046    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap>:1090(_calc___package__)
      601    0.002    0.000    0.005    0.000 enum.py:89(__setitem__)
      714    0.002    0.000    0.002    0.000 _virtualenv.py:53(find_spec)
     3538    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:897(__exit__)
      792    0.002    0.000    0.021    0.000 frozen importlib._bootstrap_external:1084(get_data)
       54    0.002    0.000    0.003    0.000 __init__.py:705(_read_buf)
     2640    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
      714    0.002    0.000    0.004    0.000 __init__.py:89(find_spec)
      285    0.002    0.000    0.002    0.000 decorators.py:29(not_implemented_for)
       40    0.002    0.000    0.002    0.000 {built-in function eval}
     5623    0.002    0.000    0.003    0.000 {built-in function setattr}
      504    0.002    0.000    0.023    0.000 _functools.py:89(pass_none)
        2    0.002    0.001    0.018    0.009 error.py:1(<module>)
      641    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:48(_new_module)
      512    0.002    0.000    0.003    0.000 pathlib.py:56(parse_parts)
       82    0.002    0.000    0.017    0.000 langhelpers.py:248(decorate)
     1293    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:391(cached)
     1197    0.002    0.000    0.007    0.000 __init__.py:211(matches)
  567/152    0.002    0.000    0.074    0.000 sre_parse.py:436(_parse_sub)
     2714    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:404(parent)
      579    0.002    0.000    0.024    0.000 parse.py:379(urlparse)
     5666    0.002    0.000    0.002    0.000 {method 'rpartition' of 'str' objects}
      716    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:357(__init__)
      152    0.002    0.000    0.120    0.001 sre_compile.py:783(compile)
      504    0.002    0.000    0.034    0.000 __init__.py:934(_normalized_name)
      687    0.002    0.000    0.002    0.000 ro.py:337(<listcomp>)
   964/14    0.002    0.000    1.709    0.122 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      151    0.002    0.000    0.011    0.000 frozen importlib._bootstrap_external:1113(set_data)
      231    0.002    0.000    0.003    0.000 ro.py:336(<listcomp>)
     2086    0.002    0.000    0.002    0.000 {method 'split' of 'str' objects}
        1    0.002    0.002    0.002    0.002 base.py:1341(SchemaVisitor)
     3538    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:893(__enter__)
   641/10    0.002    0.000    1.712    0.171 frozen importlib._bootstrap_external:891(exec_module)
       16    0.002    0.000    0.002    0.000 selector_events.py:112(_read_from_self)
    12123    0.002    0.000    0.002    0.000 {method '__exit__' of '_thread.lock' objects}
      410    0.002    0.000    0.003    0.000 compat.py:199(inspect_formatargspec)
      540    0.002    0.000    0.003    0.000 agraph.py:2080(__init__)
      172    0.002    0.000    0.003    0.000 annotation.py:542(_new_annotation_type)
      668    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      476    0.001    0.000    0.003    0.000 typing_extensions.py:183(_collect_type_vars)
      483    0.001    0.000    0.020    0.000 __init__.py:919(read_text)
      149    0.001    0.000    0.002    0.000 {method 'read' of '_io.TextIOWrapper' objects}
  643/642    0.001    0.000    0.003    0.000 frozen importlib._bootstrap_external:556(_check_name_wrapper)
      652    0.001    0.000    0.007    0.000 frozen importlib._bootstrap_external:1545(_get_spec)
     1070    0.001    0.000    0.007    0.000 typing.py:137(_type_convert)
     3531    0.001    0.000    0.003    0.000 typing.py:935(_is_dunder)
       46    0.001    0.000    0.002    0.000 typing_extensions.py:489(_get_protocol_attrs)
      512    0.001    0.000    0.004    0.000 pathlib.py:569(_parse_args)
      490    0.001    0.000    0.003    0.000 frozen importlib._bootstrap_external:599(_classify_pyc)
      490    0.001    0.000    0.071    0.000 frozen importlib._bootstrap_external:684(_compile_bytecode)
      989    0.001    0.000    0.003    0.000 pathlib.py:621(__str__)
      152    0.001    0.000    0.001    0.000 {built-in function posix.mkdir}
       12    0.001    0.000    0.293    0.024 connection.py:435(getresponse)
      151    0.001    0.000    0.045    0.000 frozen importlib._bootstrap_external:697(_code_to_timestamp_pyc)
      652    0.001    0.000    0.013    0.000 frozen importlib._bootstrap_external:524(_get_cached)
     1025    0.001    0.000    0.005    0.000 frozen importlib._bootstrap_external:1370(_path_importer_cache)
     1470    0.001    0.000    0.002    0.000 frozen importlib._bootstrap_external:84(_unpack_uint32)
  484/386    0.001    0.000    0.003    0.000 typing.py:1037(__hash__)
      175    0.001    0.000    0.002    0.000 compat.py:65(inspect_getfullargspec)
      396    0.001    0.000    0.004    0.000 agraph.py:1857(__new__)
  854/271    0.001    0.000    0.861    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     1848    0.001    0.000    0.006    0.000 os.py:698(__iter__)
     3756    0.001    0.000    0.001    0.000 {method 'isdigit' of 'str' objects}
    10164    0.001    0.000    0.001    0.000 {built-in function _imp.release_lock}
      504    0.001    0.000    0.003    0.000 __init__.py:946(_name_from_stem)
       10    0.001    0.000    0.001    0.000 {method 'decompress' of 'Decompress' objects}
       24    0.001    0.000    0.005    0.000 __init__.py:816(__init__)
      509    0.001    0.000    0.001    0.000 pathlib.py:608(_format_parsed_parts)
        1    0.001    0.001    0.003    0.003 tasks.py:1(<module>)
      129    0.001    0.000    0.009    0.000 typing.py:1323(__class_getitem__)
        9    0.001    0.000    0.002    0.000 _util.py:59(copy_globals)
       36    0.001    0.000    0.001    0.000 datetime.py:468(__new__)
       47    0.001    0.000    0.002    0.000 url.py:227(_encode_invalid_chars)
       99    0.001    0.000    0.008    0.000 interface.py:359(__init__)
      152    0.001    0.000    0.076    0.001 sre_parse.py:944(parse)
    12023    0.001    0.000    0.001    0.000 {built-in function _thread.get_ident}
     4267    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
      246    0.001    0.000    0.001    0.000 langhelpers.py:215(_unique_symbols)
     1966    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     2094    0.001    0.000    0.001    0.000 sre_parse.py:287(tell)
      568    0.001    0.000    0.001    0.000 sre_compile.py:265(_compile_charset)
     5202    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
      121    0.001    0.000    0.002    0.000 ro.py:261(__init__)
     1515    0.001    0.000    0.001    0.000 sre_parse.py:112(__init__)
      144    0.001    0.000    0.001    0.000 visitors.py:111(_generate_compiler_dispatch)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
       12    0.001    0.000    0.001    0.000 poolmanager.py:96(_default_key_normalizer)
      104    0.001    0.000    0.001    0.000 interface.py:1040(fromFunction)
      587    0.001    0.000    0.003    0.000 functools.py:69(wraps)
      418    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
       12    0.001    0.000    0.001    0.000 __init__.py:587(_write_with_length)
     1491    0.001    0.000    0.001    0.000 __init__.py:119(valid)
  160/106    0.001    0.000    0.002    0.000 typing.py:1247(__hash__)
     1197    0.001    0.000    0.005    0.000 __init__.py:231(<genexpr>)
        2    0.001    0.000    0.001    0.000 __init__.py:489(do_handshake)
      698    0.001    0.000    0.074    0.000 frozen importlib._bootstrap_external:1445(find_spec)
      298    0.001    0.000    0.005    0.000 typing.py:664(__init__)
     3061    0.001    0.000    0.001    0.000 md.py:206(eligible)
     9353    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      141    0.001    0.000    0.005    0.000 typing.py:801(__init__)
     1962    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
        1    0.001    0.001    0.001    0.001 {built-in function posix.read}
        1    0.001    0.001    0.001    0.001 __init__.py:1136(__new__)
      709    0.001    0.000    0.001    0.000 enum.py:476(__setattr__)
     2269    0.001    0.000    0.001    0.000 sre_parse.py:173(append)
      641    0.001    0.000    0.001    0.000 frozen importlib._bootstrap_external:1054(__init__)
      483    0.001    0.000    0.012    0.000 pathlib.py:1129(read_text)
     3378    0.001    0.000    0.001    0.000 {built-in function min}
      485    0.001    0.000    0.006    0.000 pathlib.py:615(_make_child)
       82    0.001    0.000    0.004    0.000 langhelpers.py:545(format_argspec_plus)
     3803    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      118    0.001    0.000    0.013    0.000 typing.py:483(Union)
     3168    0.001    0.000    0.001    0.000 frozen importlib._bootstrap_external:134(<genexpr>)
      151    0.001    0.000    0.005    0.000 frozen importlib._bootstrap_external:536(_calc_mode)
      416    0.001    0.000    0.003    0.000 inspect.py:294(_has_code_flag)
      506    0.001    0.000    0.001    0.000 genericpath.py:121(_splitext)
     3061    0.001    0.000    0.002    0.000 md.py:117(eligible)
       84    0.001    0.000    0.009    0.000 __init__.py:801(search)
      453    0.001    0.000    0.001    0.000 frozen importlib._bootstrap_external:79(_pack_uint32)
      531    0.001    0.000    0.001    0.000 posixpath.py:140(basename)
      282    0.001    0.000    0.001    0.000 parse.py:418(_splitnetloc)
      624    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      144    0.001    0.000    0.005    0.000 agraph.py:1924(__new__)
       23    0.001    0.000    0.007    0.000 __init__.py:359(<genexpr>)
       96    0.001    0.000    0.001    0.000 parse.py:208(_hostinfo)
       12    0.001    0.000    0.389    0.032 sessions.py:673(send)
     1876    0.001    0.000    0.005    0.000 os.py:759(decode)
     29/0    0.001    0.000    0.000          greenlet.py:69(__switch)
     1490    0.001    0.000    0.001    0.000 {method 'from_bytes' of 'type' objects}
      228    0.001    0.000    0.001    0.000 {built-in function locals}
